run	task	solver	seed	rc	minutes
g1v1dr-teacher-fixed-s42-r1	Isaac-Velocity-Flat-G1-DR-v1	mujoco	42	241	1
g1v1dr-teacher-fixed-s42-r1	Isaac-Velocity-Flat-G1-DR-v1	mujoco	42	241	1
g1v1dr-teacher-fixed-s42-r1	Isaac-Velocity-Flat-G1-DR-v1	mujoco	42	0	38
g1v1dr-distill-fixed-s42-r1	Velocity-G1-Distillation-DR-v1	mujoco	42	0	26
g1v1dr-finetune-fixed-s42-r1	Velocity-G1-Student-Finetune-DR-v1	mujoco	42	0	71
g1v1dr-teacher-fixed-s42-r2	Isaac-Velocity-Flat-G1-DR-v1	mujoco	42	0	60
g1v1dr-distill-fixed-s42-r2	Velocity-G1-Distillation-DR-v1	mujoco	42	0	35
g1v1dr-finetune-fixed-s42-r2	Velocity-G1-Student-Finetune-DR-v1	mujoco	42	0	109
g1stand-teacher-fixed-s42-r1	Isaac-Stand-G1-DR-v1	mujoco	42	0	75
g1stand-distill-fixed-s42-r1	Stand-G1-Distillation-DR-v1	mujoco	42	0	54
g1stand-finetune-fixed-s42-r1	Stand-G1-Student-Finetune-DR-v1	mujoco	42	0	111
g1stand-teacher-fixed-s42-r2	Isaac-Stand-G1-DR-v1	mujoco	42	130	5
g1stand-teacher-fixed-s42-r2	Isaac-Stand-G1-DR-v1	mujoco	42	130	0
g1stand-teacher-fixed-s42-r2	Isaac-Stand-G1-DR-v1	mujoco	42	130	6
