run	task	solver	seed	rc	minutes
cartpole-direct-mujoco-s42-r1	Isaac-Cartpole-Direct	mujoco	42	0	0
cartpole-direct-mujoco-adaptive-s42-r1	Isaac-Cartpole-Direct	mujoco-adaptive	42	0	0
cartpole-mujoco-s42-r1	Isaac-Cartpole	mujoco	42	0	0
cartpole-mujoco-adaptive-s42-r1	Isaac-Cartpole	mujoco-adaptive	42	0	0
reach-franka-mujoco-s42-r1	Isaac-Reach-Franka	mujoco	42	1	0
reach-franka-mujoco-adaptive-s42-r1	Isaac-Reach-Franka	mujoco-adaptive	42	1	0
reach-ur10-mujoco-s42-r1	Isaac-Reach-UR10	mujoco	42	0	8
reach-ur10-mujoco-adaptive-s42-r1	Isaac-Reach-UR10	mujoco-adaptive	42	0	13
ant-direct-mujoco-s42-r1	Isaac-Ant-Direct	mujoco	42	0	5
ant-direct-mujoco-adaptive-s42-r1	Isaac-Ant-Direct	mujoco-adaptive	42	0	17
ant-mujoco-s42-r1	Isaac-Ant	mujoco	42	0	5
ant-mujoco-adaptive-s42-r1	Isaac-Ant	mujoco-adaptive	42	0	17
humanoid-direct-mujoco-s42-r1	Isaac-Humanoid-Direct	mujoco	42	0	7
humanoid-direct-mujoco-adaptive-s42-r1	Isaac-Humanoid-Direct	mujoco-adaptive	42	0	36
humanoid-mujoco-s42-r1	Isaac-Humanoid	mujoco	42	1	6
humanoid-mujoco-adaptive-s42-r1	Isaac-Humanoid	mujoco-adaptive	42	0	52
velocity-flat-anymald-mujoco-s42-r1	Isaac-Velocity-Flat-AnymalD	mujoco	42	0	2
velocity-flat-anymald-mujoco-adaptive-s42-r1	Isaac-Velocity-Flat-AnymalD	mujoco-adaptive	42	0	15
velocity-flat-anymalb-mujoco-s42-r1	IsaacContrib-Velocity-Flat-AnymalB	mujoco	42	0	7
velocity-flat-anymalb-mujoco-adaptive-s42-r1	IsaacContrib-Velocity-Flat-AnymalB	mujoco-adaptive	42	0	19
velocity-flat-anymalc-mujoco-s42-r1	IsaacContrib-Velocity-Flat-AnymalC	mujoco	42	0	2
velocity-flat-anymalc-mujoco-adaptive-s42-r1	IsaacContrib-Velocity-Flat-AnymalC	mujoco-adaptive	42	0	14
velocity-flat-unitreea1-mujoco-s42-r1	IsaacContrib-Velocity-Flat-UnitreeA1	mujoco	42	0	4
velocity-flat-unitreea1-mujoco-adaptive-s42-r1	IsaacContrib-Velocity-Flat-UnitreeA1	mujoco-adaptive	42	0	10
velocity-flat-unitreego1-mujoco-s42-r1	IsaacContrib-Velocity-Flat-UnitreeGo1	mujoco	42	0	15
velocity-flat-unitreego1-mujoco-adaptive-s42-r1	IsaacContrib-Velocity-Flat-UnitreeGo1	mujoco-adaptive	42	0	20
velocity-flat-unitreego2-mujoco-s42-r1	Isaac-Velocity-Flat-UnitreeGo2	mujoco	42	0	6
velocity-flat-unitreego2-mujoco-adaptive-s42-r1	Isaac-Velocity-Flat-UnitreeGo2	mujoco-adaptive	42	0	10
velocity-flat-g1-mujoco-s42-r1	Isaac-Velocity-Flat-G1	mujoco	42	0	26
velocity-flat-g1-mujoco-adaptive-s42-r1	Isaac-Velocity-Flat-G1	mujoco-adaptive	42	0	200
velocity-flat-h1-mujoco-s42-r1	Isaac-Velocity-Flat-H1	mujoco	42	0	15
velocity-flat-h1-mujoco-adaptive-s42-r1	Isaac-Velocity-Flat-H1	mujoco-adaptive	42	0	36
reorient-cube-allegro-direct-mujoco-s42-r1	Isaac-Reorient-Cube-Allegro-Direct	mujoco	42	0	172
reach-franka-mujoco-s42-r1	Isaac-Reach-Franka	mujoco	42	130	0
reach-franka-mujoco-adaptive-s42-r1	Isaac-Reach-Franka	mujoco-adaptive	42	1	0
humanoid-mujoco-s42-r1	Isaac-Humanoid	mujoco	42	1	1
reorient-cube-allegro-direct-mujoco-adaptive-s42-r1	Isaac-Reorient-Cube-Allegro-Direct	mujoco-adaptive	42	130	72
reorient-cube-allegro-direct-mujoco-adaptive-s42-r1	Isaac-Reorient-Cube-Allegro-Direct	mujoco-adaptive	42	1	3
cartpole-direct-mujoco-s43-r1	Isaac-Cartpole-Direct	mujoco	43	0	0
cartpole-direct-mujoco-adaptive-s43-r1	Isaac-Cartpole-Direct	mujoco-adaptive	43	0	0
cartpole-mujoco-s43-r1	Isaac-Cartpole	mujoco	43	0	0
cartpole-mujoco-adaptive-s43-r1	Isaac-Cartpole	mujoco-adaptive	43	0	0
reach-ur10-mujoco-s43-r1	Isaac-Reach-UR10	mujoco	43	0	8
reach-ur10-mujoco-adaptive-s43-r1	Isaac-Reach-UR10	mujoco-adaptive	43	0	13
ant-direct-mujoco-s43-r1	Isaac-Ant-Direct	mujoco	43	0	5
ant-direct-mujoco-adaptive-s43-r1	Isaac-Ant-Direct	mujoco-adaptive	43	0	15
ant-mujoco-s43-r1	Isaac-Ant	mujoco	43	0	5
ant-mujoco-adaptive-s43-r1	Isaac-Ant	mujoco-adaptive	43	0	17
humanoid-direct-mujoco-s43-r1	Isaac-Humanoid-Direct	mujoco	43	0	7
humanoid-direct-mujoco-adaptive-s43-r1	Isaac-Humanoid-Direct	mujoco-adaptive	43	0	37
humanoid-mujoco-s43-r1	Isaac-Humanoid	mujoco	43	1	5
humanoid-mujoco-adaptive-s43-r1	Isaac-Humanoid	mujoco-adaptive	43	0	50
velocity-flat-anymald-mujoco-s43-r1	Isaac-Velocity-Flat-AnymalD	mujoco	43	0	2
velocity-flat-anymald-mujoco-adaptive-s43-r1	Isaac-Velocity-Flat-AnymalD	mujoco-adaptive	43	0	15
velocity-flat-anymalb-mujoco-s43-r1	IsaacContrib-Velocity-Flat-AnymalB	mujoco	43	0	7
velocity-flat-anymalb-mujoco-adaptive-s43-r1	IsaacContrib-Velocity-Flat-AnymalB	mujoco-adaptive	43	0	19
velocity-flat-anymalc-mujoco-s43-r1	IsaacContrib-Velocity-Flat-AnymalC	mujoco	43	0	2
velocity-flat-anymalc-mujoco-adaptive-s43-r1	IsaacContrib-Velocity-Flat-AnymalC	mujoco-adaptive	43	0	14
