arm,dt_s,accuracy,n_worlds,wall_ms_per_boundary,wall_ms_per_boundary_p90,steps_per_boundary,exhausted_frac,unstable,boundaries
icf-adaptive,,0.001,64,0.8839565562084317,1.1344969971105456,1.0047619047619047,0.0,False,420
icf,0.001,,64,1.9933389266952872,2.422794606536627,10.0,0.0,False,420
mujoco-adaptive,,0.001,64,2.692629932425916,7.271187333390117,5.064285714285714,0.0,False,420
mujoco,0.001,,64,2.5680375983938575,2.893132995814085,10.0,0.0,False,420
icf-adaptive,,0.001,256,1.0201969416812062,1.343738823197782,1.0047619047619047,0.0,False,420
icf,0.001,,256,2.3085849825292826,3.0245366506278515,10.0,0.0,False,420
mujoco-adaptive,,0.001,256,3.1382041051983833,10.039377282373607,6.057142857142857,0.0,False,420
mujoco,0.001,,256,3.0351084424182773,3.3630032325163484,10.0,0.0,False,420
icf-adaptive,,0.001,1024,1.2229939457029104,1.4824100537225604,1.0047619047619047,0.0,False,420
icf,0.001,,1024,2.632279065437615,3.7534275325015187,10.0,0.0,False,420
mujoco-adaptive,,0.001,1024,5.983995972201228,13.343788217753172,7.430952380952381,0.0,False,420
mujoco,0.001,,1024,3.5838130861520767,3.8964524166658525,10.0,0.0,False,420
icf-adaptive,,0.001,4096,1.5890118665993214,1.9534109393134713,1.0047619047619047,0.0,False,420
icf,0.001,,4096,3.5153438802808523,5.224734451621771,10.0,0.0,False,420
mujoco-adaptive,,0.001,4096,12.928930460475385,21.38918568380177,8.542857142857143,0.0,False,420
mujoco,0.001,,4096,5.071221035905182,5.503248702734709,10.0,0.0,False,420
