scheme,mode,accuracy,n_worlds,workers,makespan_s,wall_ms_per_boundary
drake-cenic-cpu,lockstep,0.001,1,1,0.0852345279417932,4.26172639708966
drake-cenic-cpu,lockstep,0.001,2,2,0.10101173352450132,5.050586676225066
drake-cenic-cpu,lockstep,0.001,4,4,0.10214000009000301,5.107000004500151
drake-cenic-cpu,lockstep,0.001,8,8,0.10803201189264655,5.401600594632328
drake-cenic-cpu,lockstep,0.001,16,16,0.16112254094332457,8.056127047166228
drake-cenic-cpu,lockstep,0.001,32,32,0.18766614655032754,9.383307327516377
drake-cenic-cpu,lockstep,0.001,64,64,0.20175625989213586,10.087812994606793
drake-cenic-cpu,lockstep,0.001,128,96,0.4724945849739015,23.624729248695076
drake-cenic-cpu,lockstep,0.001,256,96,0.6905647208914161,34.528236044570804
drake-cenic-cpu,lockstep,0.001,512,96,1.37977328710258,68.988664355129
drake-cenic-cpu,lockstep,0.001,1024,96,2.3966301130130887,119.83150565065444
drake-cenic-cpu,lockstep,0.001,2048,96,4.443599027115852,222.17995135579258
drake-cenic-cpu,lockstep,0.001,4096,96,8.583710882347077,429.18554411735386
drake-cenic-cpu,lockstep,0.001,8192,96,16.53216369729489,826.6081848647445
drake-cenic-cpu,lockstep,0.001,16384,96,32.95645218482241,1647.8226092411205
