scheme,mode,accuracy,n_worlds,workers,makespan_s,wall_ms_per_boundary
drake-cenic-cpu,lockstep,0.001,1,1,0.23884127801284194,11.942063900642097
drake-cenic-cpu,lockstep,0.001,2,2,0.2694891910068691,13.474459550343454
drake-cenic-cpu,lockstep,0.001,4,4,0.28519898978993297,14.259949489496648
drake-cenic-cpu,lockstep,0.001,8,8,0.2963786539621651,14.818932698108256
drake-cenic-cpu,lockstep,0.001,16,16,0.3435416929423809,17.177084647119045
drake-cenic-cpu,lockstep,0.001,32,32,0.368773952126503,18.43869760632515
drake-cenic-cpu,lockstep,0.001,64,64,0.37894063582643867,18.947031791321933
drake-cenic-cpu,lockstep,0.001,128,96,0.5404425449669361,27.022127248346806
drake-cenic-cpu,lockstep,0.001,256,96,0.7694199071265757,38.470995356328785
drake-cenic-cpu,lockstep,0.001,512,96,1.37977328710258,68.988664355129
drake-cenic-cpu,lockstep,0.001,1024,96,2.3966301130130887,119.83150565065444
drake-cenic-cpu,lockstep,0.001,2048,96,4.443599027115852,222.17995135579258
drake-cenic-cpu,lockstep,0.001,4096,96,8.583710882347077,429.18554411735386
drake-cenic-cpu,lockstep,0.001,8192,96,16.53216369729489,826.6081848647445
drake-cenic-cpu,lockstep,0.001,16384,96,32.95645218482241,1647.8226092411205
