scheme,protocol,accuracy,n_worlds,makespan_s,ms_per_world,march_compact,compact_width,solver_commit
icf-adaptive-gpu,warm0.2s_time20x0.1s_makespan,0.001,1,0.1,107.07,1,1,0fca334
icf-adaptive-gpu,warm0.2s_time20x0.1s_makespan,0.001,2,0.2,78.57,1,1,0fca334
icf-adaptive-gpu,warm0.2s_time20x0.1s_makespan,0.001,4,0.2,45.43,1,2,0fca334
icf-adaptive-gpu,warm0.2s_time20x0.1s_makespan,0.001,8,0.2,30.87,1,4,0fca334
icf-adaptive-gpu,warm0.2s_time20x0.1s_makespan,0.001,16,0.3,20.4,1,8,0fca334
icf-adaptive-gpu,warm0.2s_time20x0.1s_makespan,0.001,32,0.3,10.02,1,16,0fca334
icf-adaptive-gpu,warm0.2s_time20x0.1s_makespan,0.001,64,0.4,6.72,1,32,0fca334
icf-adaptive-gpu,warm0.2s_time20x0.1s_makespan,0.001,128,0.5,4.14,1,64,0fca334
icf-adaptive-gpu,warm0.2s_time20x0.1s_makespan,0.001,256,0.7,2.82,1,64,0fca334
icf-adaptive-gpu,warm0.2s_time20x0.1s_makespan,0.001,512,0.8,1.62,1,128,0fca334
icf-adaptive-gpu,warm0.2s_time20x0.1s_makespan,0.001,1024,1.0,0.97,1,256,0fca334
icf-adaptive-gpu,warm0.2s_time20x0.1s_makespan,0.001,2048,1.3,0.65,1,512,0fca334
icf-adaptive-gpu,warm0.2s_time20x0.1s_makespan,0.001,4096,1.9,0.47,1,1024,0fca334
icf-adaptive-gpu,warm0.2s_time20x0.1s_makespan,0.001,8192,3.0,0.37,1,2048,0fca334
icf-adaptive-gpu,warm0.2s_time20x0.1s_makespan,0.001,16384,5.5,0.34,1,4096,0fca334
