iters_per_boundary,scene,arm,accuracy,dt_s,dt_outer_s,max_substeps,n_worlds,wall_ms_median,wall_ms_p90,exhausted_frac,wall_ms_trial_min,wall_ms_trial_max,trials
10,hard-clutter,mujoco,,0.01,0.1,,64,9.208190022036433,10.537078510969877,0.0,9.140327805653214,9.247794514521956,3
10,hard-clutter,mujoco,,0.01,0.1,,128,9.588139597326517,11.262922082096338,0.0,9.504878660663962,9.590588510036469,3
10,hard-clutter,mujoco,,0.01,0.1,,256,10.563868563622236,12.629944877699018,0.0,10.463232174515724,10.572952451184392,3
10,hard-clutter,mujoco,,0.01,0.1,,512,12.874088017269969,14.995907852426171,0.0,12.84932647831738,12.894494459033012,3
10,hard-clutter,mujoco,,0.01,0.1,,1024,17.838777974247932,19.803127646446228,0.0,17.81668490730226,17.84602482803166,3
10,hard-clutter,mujoco,,0.01,0.1,,2048,31.487738247960806,34.305591182783246,0.0,31.465363688766956,31.525359954684973,3
10,hard-clutter,mujoco,,0.01,0.1,,4096,54.63532777503133,59.17553943581879,0.0,54.52736956067383,54.69665094278753,3
10,hard-clutter,mujoco,,0.01,0.1,,8192,102.27620624937117,112.21159407868981,0.0,102.11961902678013,102.67414152622223,3
69.95,hard-clutter,mujoco-adaptive,0.001,,0.1,4096,64,198.14971601590514,465.1011737063528,0.0,172.54827916622162,204.7158726491034,3
70.15,hard-clutter,mujoco-adaptive,0.001,,0.1,4096,128,232.02315345406532,507.00245695188664,0.0,185.91307196766138,240.75424554757774,3
79.4,hard-clutter,mujoco-adaptive,0.001,,0.1,4096,256,269.47972108609974,574.4759020861239,0.0,248.15701693296432,288.04849134758115,3
84.4,hard-clutter,mujoco-adaptive,0.001,,0.1,4096,512,318.9315616618842,657.9710630234332,0.0,315.30936737544835,366.58399063162506,3
86.3,hard-clutter,mujoco-adaptive,0.001,,0.1,4096,1024,451.13579696044326,908.242696337402,0.0,445.6009650602937,491.0508084576577,3
90.25,hard-clutter,mujoco-adaptive,0.001,,0.1,4096,2048,768.3538575656712,1384.5300754997882,0.0,767.1871480997652,857.2072214446962,3
96.1,hard-clutter,mujoco-adaptive,0.001,,0.1,4096,4096,1390.0688085705042,2234.250333392993,0.0,1359.0698558837175,1396.7029841151088,3
98.8,hard-clutter,mujoco-adaptive,0.001,,0.1,4096,8192,2593.7757953070104,4272.393266996369,0.0,2566.4195951540023,2623.9771039690822,3
10,hard-clutter,icf,,0.01,0.1,,64,75.66012581810355,143.78685159608725,0.0,75.52638417109847,77.38890312612057,3
10,hard-clutter,icf,,0.01,0.1,,128,112.33081272803247,197.77016453444966,0.0,109.9804260302335,117.09254770539701,3
10,hard-clutter,icf,,0.01,0.1,,256,164.38860283233225,302.9082151129843,0.0,160.70429142564535,166.64853761903942,3
10,hard-clutter,icf,,0.01,0.1,,512,273.0735389050096,498.8978121429684,0.0,268.2952240575105,278.9327052887529,3
10,hard-clutter,icf,,0.01,0.1,,1024,520.0070654973388,944.4843228440736,0.0,518.8867850229144,521.8194124754518,3
10,hard-clutter,icf,,0.01,0.1,,2048,1031.1534060165286,1996.7543134931482,0.0,1029.2056137695909,1042.547831311822,3
10,hard-clutter,icf,,0.01,0.1,,4096,2032.2161666117609,4137.635023612531,0.0,2025.7521085441113,2040.1743871625513,3
10,hard-clutter,icf,,0.01,0.1,,8192,3986.225679051131,8190.923890704293,0.0,3975.612838054076,3998.843068489805,3
55.5,hard-clutter,icf-adaptive,0.001,,0.1,4096,64,340.72180138900876,1919.096767576412,0.0,309.51447249390185,368.9650213345885,3
61.85,hard-clutter,icf-adaptive,0.001,,0.1,4096,128,461.0796559136361,2627.6954961009333,0.0,403.69552513584495,488.155733095482,3
63.3,hard-clutter,icf-adaptive,0.001,,0.1,4096,256,664.4997536204755,3750.332577247174,0.0,622.865786543116,678.847138537094,3
67.9,hard-clutter,icf-adaptive,0.001,,0.1,4096,512,993.5360495001078,6167.63593517244,0.0,958.942046854645,1121.7704531736672,3
69.9,hard-clutter,icf-adaptive,0.001,,0.1,4096,1024,1707.4750373139977,12348.793311743071,0.0,1674.4774230755866,1771.024647867307,3
70.5,hard-clutter,icf-adaptive,0.001,,0.1,4096,2048,3201.790563063696,26152.020573196944,0.0,3180.5082440841943,3270.968846976757,3
71.15,hard-clutter,icf-adaptive,0.001,,0.1,4096,4096,6034.264703746885,52689.818020956605,0.0,6026.74801973626,6131.5180961973965,3
75.3,hard-clutter,icf-adaptive,0.001,,0.1,4096,8192,12252.312276512384,104179.81861494484,0.0,12136.822267901152,12280.507158953696,3
