iters_per_boundary,scene,arm,accuracy,dt_s,dt_outer_s,max_substeps,n_worlds,wall_ms_median,wall_ms_p90,exhausted_frac,wall_ms_trial_min,wall_ms_trial_max,trials
10,hard-clutter,mujoco,,0.01,0.1,,64,9.067091858014464,10.58669169433415,0.0,8.929079165682197,9.113552747294307,3
10,hard-clutter,mujoco,,0.01,0.1,,128,9.504202986136079,11.196683906018734,0.0,9.381287265568972,9.54288593493402,3
10,hard-clutter,mujoco,,0.01,0.1,,256,10.580058209598064,12.577043706551194,0.0,10.496872942894697,10.696545010432601,3
10,hard-clutter,mujoco,,0.01,0.1,,512,12.884201016277075,15.112694213166833,0.0,12.85788044333458,12.910675955936313,3
10,hard-clutter,mujoco,,0.01,0.1,,1024,17.81320502050221,19.79120457544923,0.0,17.69116474315524,17.816654639318585,3
10,hard-clutter,mujoco,,0.01,0.1,,2048,31.566393794491887,34.38493637368083,0.0,31.512015499174595,31.59092040732503,3
10,hard-clutter,mujoco,,0.01,0.1,,4096,54.72943698987365,59.29880212061107,0.0,54.494572803378105,54.80109108611941,3
10,hard-clutter,mujoco,,0.01,0.1,,8192,102.37505938857794,112.1590313501656,0.0,102.30757249519229,102.51944256015122,3
65.55,hard-clutter,mujoco-adaptive,0.001,,0.1,4096,64,183.13481332734227,457.6876440085472,0.0,144.48606851510704,186.0802099108696,3
68.05,hard-clutter,mujoco-adaptive,0.001,,0.1,4096,128,202.16912380419672,500.0232677906753,0.0,172.77112766169012,212.48038136400282,3
71.7,hard-clutter,mujoco-adaptive,0.001,,0.1,4096,256,259.9770233500749,569.7763536125423,0.0,224.54817802645266,279.2194373905659,3
83.85,hard-clutter,mujoco-adaptive,0.001,,0.1,4096,512,348.3498184941709,670.0162122957411,0.0,325.65215742215514,362.92091803625226,3
87.5,hard-clutter,mujoco-adaptive,0.001,,0.1,4096,1024,459.6855938434601,918.9421815332026,0.0,448.95683717913926,465.9180229064077,3
90.85,hard-clutter,mujoco-adaptive,0.001,,0.1,4096,2048,778.6422243807465,1325.0132606364791,0.0,772.5269431248307,791.1855606362224,3
95.85,hard-clutter,mujoco-adaptive,0.001,,0.1,4096,4096,1314.7411469835788,2290.2643789071594,0.0,1307.8769692219794,1316.8276059441268,3
99.15,hard-clutter,mujoco-adaptive,0.001,,0.1,4096,8192,2555.9632712975144,4158.287290250883,0.0,2507.8558498062193,2601.605493808165,3
10,hard-clutter,icf,,0.01,0.1,,64,35.202393075451255,60.949453338980675,0.0,34.00196391157806,36.69062745757401,3
10,hard-clutter,icf,,0.01,0.1,,128,39.287531515583396,68.47023549489678,0.0,38.52603072300553,40.08695972152054,3
10,hard-clutter,icf,,0.01,0.1,,256,48.83529501967132,85.5023194104433,0.0,47.920412849634886,49.2013085167855,3
10,hard-clutter,icf,,0.01,0.1,,512,66.24608160927892,110.85841204039755,0.0,65.89787546545267,67.21446546725929,3
10,hard-clutter,icf,,0.01,0.1,,1024,102.12519764900208,161.89062399789697,0.0,101.25529300421476,102.69380267709494,3
10,hard-clutter,icf,,0.01,0.1,,2048,168.45647851005197,318.49706070497643,0.0,168.18489297293127,169.07552839256823,3
10,hard-clutter,icf,,0.01,0.1,,4096,311.82044581510127,596.5366402175279,0.0,306.952484883368,312.80991644598544,3
10,hard-clutter,icf,,0.01,0.1,,8192,606.6133761778474,1186.5194991230967,0.0,595.6507539376616,607.0124034304172,3
56.95,hard-clutter,icf-adaptive,0.001,,0.1,4096,64,155.418214853853,810.2128685452047,0.0,152.4183365982026,162.61386894620955,3
62.35,hard-clutter,icf-adaptive,0.001,,0.1,4096,128,186.70114944688976,893.6662886757406,0.0,181.62590521387756,197.32847507111728,3
62.8,hard-clutter,icf-adaptive,0.001,,0.1,4096,256,241.25849292613566,1037.3594569973652,0.0,210.84743505343795,246.7798814177513,3
69.7,hard-clutter,icf-adaptive,0.001,,0.1,4096,512,297.4304149392992,1304.0784171316777,0.0,293.35521161556244,297.6435071323067,3
68.9,hard-clutter,icf-adaptive,0.001,,0.1,4096,1024,375.9359694086015,1821.067939372734,0.0,368.3481067419052,389.11451445892453,3
70.75,hard-clutter,icf-adaptive,0.001,,0.1,4096,2048,556.0578159056604,3021.1788043379793,0.0,541.6586610954255,556.4800389111042,3
73.8,hard-clutter,icf-adaptive,0.001,,0.1,4096,4096,865.5143305659294,5358.058300940322,0.0,844.908430473879,937.6876151654869,3
74.2,hard-clutter,icf-adaptive,0.001,,0.1,4096,8192,1506.6087923478335,9882.823123224083,0.0,1484.3066211324185,1534.718876471743,3
