iters_per_boundary,scene,arm,accuracy,dt_s,dt_outer_s,max_substeps,n_worlds,wall_ms_median,wall_ms_p90,exhausted_frac,wall_ms_trial_min,wall_ms_trial_max,trials
10,soft-clutter,mujoco,,0.01,0.1,,64,4.771749023348093,7.562709227204323,0.0,4.699204582720995,4.778790287673473,3
10,soft-clutter,mujoco,,0.01,0.1,,128,4.933844320476055,7.722286321222783,0.0,4.929603077471256,4.934620577841997,3
10,soft-clutter,mujoco,,0.01,0.1,,256,5.476449616253376,8.344990480691195,0.0,5.468652117997408,5.492764059454203,3
10,soft-clutter,mujoco,,0.01,0.1,,512,6.703988648951054,9.789133816957474,0.0,6.6986409947276115,6.717038108035922,3
10,soft-clutter,mujoco,,0.01,0.1,,1024,9.208051953464746,13.103282963857055,0.0,9.201662614941597,9.211527416482568,3
10,soft-clutter,mujoco,,0.01,0.1,,2048,16.415761783719063,23.81736170500517,0.0,16.399367479607463,16.423358349129558,3
10,soft-clutter,mujoco,,0.01,0.1,,4096,29.649422504007816,41.21423866599798,0.0,29.647037386894226,29.662576504051685,3
10,soft-clutter,mujoco,,0.01,0.1,,8192,56.016404181718826,76.13395163789392,0.0,56.001546792685986,56.04456248693168,3
18.7,soft-clutter,mujoco-adaptive,0.001,,0.1,4096,64,25.470659136772156,82.24327145144348,0.0,25.290456833317876,28.381491545587778,3
19.2,soft-clutter,mujoco-adaptive,0.001,,0.1,4096,128,27.36103441566229,81.0551953502,0.0,25.79496894031763,27.411866933107376,3
19.3,soft-clutter,mujoco-adaptive,0.001,,0.1,4096,256,31.293687177821994,90.27640167623763,0.0,28.781380970031023,31.46291757002473,3
19.2,soft-clutter,mujoco-adaptive,0.001,,0.1,4096,512,35.1112550124526,101.53985684737569,0.0,34.61127425543964,35.48945696093142,3
19.9,soft-clutter,mujoco-adaptive,0.001,,0.1,4096,1024,49.10296527668834,137.3460020869971,0.0,47.59462201036513,50.41435710154474,3
19.6,soft-clutter,mujoco-adaptive,0.001,,0.1,4096,2048,76.99024211615324,248.18795835599317,0.0,74.69514990225434,79.98148654587567,3
20.0,soft-clutter,mujoco-adaptive,0.001,,0.1,4096,4096,137.65368657186627,421.30658277310454,0.0,137.48505269177258,138.0053940229118,3
20.2,soft-clutter,mujoco-adaptive,0.001,,0.1,4096,8192,253.15157044678926,770.2609425410633,0.0,252.94758821837604,259.73544106818736,3
10,soft-clutter,icf,,0.01,0.1,,64,13.354002498090267,34.519321704283364,0.0,13.306986074894667,13.878100086003542,3
10,soft-clutter,icf,,0.01,0.1,,128,15.303433174267411,36.633845278993256,0.0,14.865821925923228,15.34447493031621,3
10,soft-clutter,icf,,0.01,0.1,,256,19.23266495577991,45.11182829737665,0.0,18.83012684993446,19.623790867626667,3
10,soft-clutter,icf,,0.01,0.1,,512,27.045049937441945,71.02756821550429,0.0,26.756018167361617,27.766289189457893,3
10,soft-clutter,icf,,0.01,0.1,,1024,46.1914895568043,116.01539193652573,0.0,46.050581615418196,46.36799148283899,3
10,soft-clutter,icf,,0.01,0.1,,2048,93.77062600106001,217.48728998936718,0.0,93.561154557392,96.87342890538275,3
10,soft-clutter,icf,,0.01,0.1,,4096,183.5867976769805,428.6932332441212,0.0,183.50459937937558,184.39310207031667,3
10,soft-clutter,icf,,0.01,0.1,,8192,362.35036770813167,852.1246303338557,0.0,362.216041656211,363.5354470461607,3
32.65,soft-clutter,icf-adaptive,0.001,,0.1,4096,64,58.53776168078184,171.38049355708065,0.0,56.187044363468885,59.01351571083069,3
33.8,soft-clutter,icf-adaptive,0.001,,0.1,4096,128,64.81061526574194,185.60907011851674,0.0,63.33206547424197,67.54451035521924,3
34.65,soft-clutter,icf-adaptive,0.001,,0.1,4096,256,77.84994202665985,225.77707893215126,0.0,77.14123697951436,80.13980300165713,3
35.8,soft-clutter,icf-adaptive,0.001,,0.1,4096,512,102.26902086287737,305.94136076979345,0.0,99.33072631247342,103.12035190872848,3
36.1,soft-clutter,icf-adaptive,0.001,,0.1,4096,1024,148.30411178991199,477.7357631362976,0.0,145.62619011849165,148.92288646660745,3
37.05,soft-clutter,icf-adaptive,0.001,,0.1,4096,2048,241.97320989333093,838.9615777414294,0.0,240.88138504885137,244.24082064069808,3
37.5,soft-clutter,icf-adaptive,0.001,,0.1,4096,4096,421.9100195914507,1524.5568365324293,0.0,418.80514076910913,424.48427551425993,3
38.3,soft-clutter,icf-adaptive,0.001,,0.1,4096,8192,785.4025594424456,2880.8567095082262,0.0,784.6796561498195,789.1847195569426,3
