arm,dt_s,accuracy,k_N_per_m,pen_m,static_m,ratio,unstable
icf,0.01,,100000.0,6.420537829399109e-06,6.420629985774141e-06,0.9999856468329064,False
mujoco,0.01,,100000.0,0.00036718323826789856,6.420629985774141e-06,57.18803903689319,False
mujoco-direct,0.01,,100000.0,-27.0230655670166,6.420629985774141e-06,-4208787.241577573,True
icf,0.005,,100000.0,6.420537829399109e-06,6.420629985774141e-06,0.9999856468329064,False
mujoco,0.005,,100000.0,0.00010775774717330933,6.420629985774141e-06,16.78304892386925,False
mujoco-direct,0.005,,100000.0,-17.930028915405273,6.420629985774141e-06,-2792565.364322802,True
icf,0.002,,100000.0,6.420537829399109e-06,6.420629985774141e-06,0.9999856468329064,False
mujoco,0.002,,100000.0,1.7484650015830994e-05,6.420629985774141e-06,2.7231985108269487,False
mujoco-direct,0.002,,100000.0,6.418675184249878e-06,6.420629985774141e-06,0.9996955436571497,False
icf,0.001,,100000.0,6.420537829399109e-06,6.420629985774141e-06,0.9999856468329064,False
mujoco,0.001,,100000.0,6.299465894699097e-06,6.420629985774141e-06,0.9811289404087291,False
mujoco-direct,0.001,,100000.0,6.416812539100647e-06,6.420629985774141e-06,0.9994054404813932,False
icf,0.0005,,100000.0,6.420537829399109e-06,6.420629985774141e-06,0.9999856468329064,False
mujoco,0.0005,,100000.0,6.301328539848328e-06,6.420629985774141e-06,0.9814190435844856,False
mujoco-direct,0.0005,,100000.0,6.420537829399109e-06,6.420629985774141e-06,0.9999856468329064,False
icf,0.01,,1000.0,0.000642063096165657,0.0006420629985774141,1.0000001519916941,False
mujoco,0.01,,1000.0,0.0006410777568817139,0.0006420629985774141,0.998465506191942,False
icf,0.005,,1000.0,0.000642063096165657,0.0006420629985774141,1.0000001519916941,False
mujoco,0.005,,1000.0,0.0006410814821720123,0.0006420629985774141,0.998471308255457,False
icf,0.002,,1000.0,0.0006420668214559555,0.0006420629985774141,1.0000059540552093,False
mujoco,0.002,,1000.0,0.0006410833448171616,0.0006420629985774141,0.9984742092872146,False
icf,0.001,,1000.0,0.000642063096165657,0.0006420629985774141,1.0000001519916941,False
mujoco,0.001,,1000.0,0.0006410852074623108,0.0006420629985774141,0.9984771103189722,False
icf,0.0005,,1000.0,0.0006420612335205078,0.0006420629985774141,0.9999972509599366,False
mujoco,0.0005,,1000.0,0.0006411112844944,0.0006420629985774141,0.9985177247635781,False
icf-adaptive,,0.1,100000.0,6.433576345443726e-06,6.420629985774141e-06,1.0020163690632022,False
mujoco-adaptive,,0.1,100000.0,0.00010775215923786163,6.420629985774141e-06,16.782178614341976,False
icf-adaptive,,0.01,100000.0,6.418675184249878e-06,6.420629985774141e-06,0.9996955436571497,False
mujoco-adaptive,,0.01,100000.0,0.00010775215923786163,6.420629985774141e-06,16.782178614341976,False
icf-adaptive,,0.001,100000.0,6.420537829399109e-06,6.420629985774141e-06,0.9999856468329064,False
mujoco-adaptive,,0.001,100000.0,0.00010775215923786163,6.420629985774141e-06,16.782178614341976,False
icf-adaptive,,0.0001,100000.0,6.420537829399109e-06,6.420629985774141e-06,0.9999856468329064,False
mujoco-adaptive,,0.0001,100000.0,0.00010775215923786163,6.420629985774141e-06,16.782178614341976,False
icf-adaptive,,1e-05,100000.0,6.420537829399109e-06,6.420629985774141e-06,0.9999856468329064,False
mujoco-adaptive,,1e-05,100000.0,8.01868736743927e-06,6.420629985774141e-06,1.2488941716320459,False
