scene,arm,accuracy,dt_s,dt_outer_s,max_substeps,n_worlds,horizon_s,trials,wall_s_per_sim_s,wall_s_per_world_sim_s,iters_per_boundary,exhausted_frac,status
hard-clutter,mujoco-adaptive,0.1,,0.1,16384,1,2.0,3,0.07959752498815457,0.07959752498815457,3.6666666666666665,0.0,ok
hard-clutter,mujoco-adaptive,0.01,,0.1,16384,1,2.0,3,0.3077552622805039,0.3077552622805039,14.833333333333334,0.0,ok
hard-clutter,mujoco-adaptive,0.001,,0.1,16384,1,2.0,3,0.7409867871966627,0.7409867871966627,56.27777777777778,0.0,ok
hard-clutter,mujoco-adaptive,0.0001,,0.1,16384,1,2.0,3,2.528415244952258,2.528415244952258,156.05555555555554,0.0,ok
hard-clutter,mujoco-adaptive,1e-05,,0.1,16384,1,2.0,3,3.7590545778059297,3.7590545778059297,233.77777777777777,0.0,ok
hard-clutter,mujoco-adaptive,1e-06,,0.1,16384,1,2.0,3,9.815749867250108,9.815749867250108,741.1111111111111,0.0,ok
hard-clutter,icf-adaptive,0.1,,0.1,16384,1,2.0,3,0.18387000335173473,0.18387000335173473,5.111111111111111,0.0,ok
hard-clutter,icf-adaptive,0.01,,0.1,16384,1,2.0,3,0.3161558410566714,0.3161558410566714,19.5,0.0,ok
hard-clutter,icf-adaptive,0.001,,0.1,16384,1,2.0,3,0.6304541884714531,0.6304541884714531,38.55555555555556,0.0,ok
hard-clutter,icf-adaptive,0.0001,,0.1,16384,1,2.0,3,1.6635554118288887,1.6635554118288887,109.16666666666667,0.0,ok
hard-clutter,icf-adaptive,1e-05,,0.1,16384,1,2.0,3,4.592476297273404,4.592476297273404,304.8888888888889,0.0,ok
hard-clutter,icf-adaptive,1e-06,,0.1,16384,1,2.0,3,14.57166004460305,14.57166004460305,954.2222222222222,0.0,ok
hard-clutter,mujoco,,0.01,0.1,,1,2.0,3,0.062341403164383434,0.062341403164383434,10,0.0,ok
hard-clutter,mujoco,,0.005,0.1,,1,2.0,3,0.12735302456551129,0.12735302456551129,20,0.0,ok
hard-clutter,mujoco,,0.002,0.1,,1,2.0,3,0.3355892206956115,0.3355892206956115,50,0.0,ok
hard-clutter,mujoco,,0.001,0.1,,1,2.0,3,0.41951121684784687,0.41951121684784687,100,0.0,ok
hard-clutter,icf,,0.01,0.1,,1,2.0,3,0.09863235651411943,0.09863235651411943,10,0.0,ok
hard-clutter,icf,,0.005,0.1,,1,2.0,3,0.14863935221607485,0.14863935221607485,20,0.0,ok
hard-clutter,icf,,0.002,0.1,,1,2.0,3,0.2807426610444155,0.2807426610444155,50,0.0,ok
hard-clutter,icf,,0.001,0.1,,1,2.0,3,0.5078699150019221,0.5078699150019221,100,0.0,ok
