scene,arm,accuracy,dt_s,dt_outer_s,max_substeps,n_worlds,horizon_s,trials,wall_s_per_sim_s,wall_s_per_world_sim_s,iters_per_boundary,exhausted_frac,status
soft-clutter,mujoco-adaptive,0.1,,0.1,16384,1024,2.0,3,0.0991657878168755,9.684158966491748e-05,2.7222222222222223,0.0,ok
soft-clutter,mujoco-adaptive,0.01,,0.1,16384,1024,2.0,3,0.23914018335441747,0.00023353533530704831,6.611111111111111,0.0,ok
soft-clutter,mujoco-adaptive,0.001,,0.1,16384,1024,2.0,3,0.6978139884045554,0.0006814589730513237,21.055555555555557,0.0,ok
soft-clutter,mujoco-adaptive,0.0001,,0.1,16384,1024,2.0,3,1.8253617050747075,0.001782579790112019,52.666666666666664,0.0,ok
soft-clutter,mujoco-adaptive,1e-05,,0.1,16384,1024,2.0,3,4.658463289443818,0.004549280556097478,146.88888888888889,0.0,ok
soft-clutter,mujoco-adaptive,1e-06,,0.1,16384,1024,2.0,3,11.195797859432382,0.010933396347101935,427.8888888888889,0.0,ok
soft-clutter,icf-adaptive,0.1,,0.1,16384,1024,2.0,3,0.8037157571460638,0.0007848786690879529,5.722222222222222,0.0,ok
soft-clutter,icf-adaptive,0.01,,0.1,16384,1024,2.0,3,1.0978157554442685,0.0010720856986760434,15.61111111111111,0.0,ok
soft-clutter,icf-adaptive,0.001,,0.1,16384,1024,2.0,3,2.43760891051756,0.0023804774516773047,38.388888888888886,0.0,ok
soft-clutter,icf-adaptive,0.0001,,0.1,16384,1024,2.0,3,5.703146075053762,0.005569478588919689,97.22222222222223,0.0,ok
soft-clutter,icf-adaptive,1e-05,,0.1,16384,1024,2.0,3,32.852247913316305,0.032082273352847954,283.05555555555554,0.0,ok
soft-clutter,icf-adaptive,1e-06,,0.1,16384,1024,2.0,3,97.04514691994214,0.094770651289006,818.7222222222222,0.0,ok
soft-clutter,mujoco,,0.01,0.1,,1024,2.0,3,0.10245733273526032,0.00010005598899927766,10,0.0,ok
soft-clutter,mujoco,,0.005,0.1,,1024,2.0,3,0.22449030230442682,0.00021922881084416682,20,0.0,ok
soft-clutter,mujoco,,0.002,0.1,,1024,2.0,3,0.5163531222691139,0.0005042510959659315,50,0.0,ok
soft-clutter,mujoco,,0.001,0.1,,1024,2.0,3,0.9863933693203661,0.0009632747747269201,100,0.0,ok
soft-clutter,icf,,0.01,0.1,,1024,2.0,3,0.5835551320989099,0.0005698780586903417,10,0.0,ok
soft-clutter,icf,,0.005,0.1,,1024,2.0,3,1.093081753804452,0.00106746265019966,20,0.0,ok
soft-clutter,icf,,0.002,0.1,,1024,2.0,3,2.3636330850422382,0.0023082354346115608,50,0.0,ok
soft-clutter,icf,,0.001,0.1,,1024,2.0,3,4.294854802752121,0.004194194143312618,100,0.0,ok
